,t_amb,t_sup_prim,t_ret_prim,t_sup_sec,t_ret_sec,qizm,temp,humidity,windspeed,sealevelpressure,hour_of_day,heating_on,delta_primary,delta_secondary,sin_hour,cos_hour,season
2019-11-18 06:00:00,13.30081696505879,62.139542319275265,29.524617210471423,34.0,26.0,0.0,15.0,67.35,14.8,1014.0,6,0,32.614925108803845,8.0,1.0,6.123233995736766e-17,1
2019-11-18 07:00:00,13.214221412989517,73.14634008437218,39.26332113787032,43.6,40.7,0.0,14.9,67.51,4.1,1015.1,7,0,33.88301894650186,2.8999999999999986,0.9659258262890683,-0.25881904510252063,1
2019-11-18 08:00:00,13.30081696505879,73.0620504570517,38.44534462091663,44.0,39.7,0.0,15.0,67.35,3.6,1016.0,8,0,34.61670583613507,4.299999999999997,0.8660254037844387,-0.4999999999999998,1
2019-11-18 09:00:00,12.434861444366064,60.9476748976053,38.38883886144305,36.6,35.5,0.0,14.0,71.84,1.8,1016.0,9,0,22.558836036162255,1.1000000000000014,0.7071067811865476,-0.7071067811865475,1
2019-11-18 10:00:00,14.080176933682239,65.83676469032616,35.155872360100396,40.3,32.2,0.0,15.9,63.77,9.4,1017.0,10,0,30.680892330225767,8.099999999999994,0.49999999999999994,-0.8660254037844387,1
2019-11-18 11:00:00,14.166772485751512,62.813183650328384,33.86590736867946,34.1,28.6,0.0,16.0,67.55,1.8,1017.0,11,0,28.947276281648925,5.5,0.258819045102521,-0.9659258262890682,1
2019-11-18 12:00:00,15.032728006444238,59.60007445023954,30.54043948770619,31.2,27.0,0.0,17.0,67.76,13.0,1017.0,12,0,29.059634962533348,4.199999999999999,1.2246467991473532e-16,-1.0,1
2019-11-18 13:00:00,16.67804349576041,59.999666049679306,29.8439737258625,32.7,26.7,0.0,18.9,56.21,10.9,1017.1,13,0,30.155692323816805,6.0000000000000036,-0.2588190451025208,-0.9659258262890683,1
2019-11-18 14:00:00,16.764639047829682,59.729250210257696,29.137561507241585,33.5,26.3,0.0,19.0,55.9,16.6,1017.0,14,0,30.59168870301611,7.199999999999999,-0.4999999999999997,-0.8660254037844388,1
2019-11-18 15:00:00,15.89868352713696,59.280284787868595,29.164394852652727,33.1,26.1,0.0,18.0,59.51,14.8,1018.0,15,0,30.11588993521587,7.0,-0.7071067811865471,-0.7071067811865479,1
2019-11-18 16:00:00,14.946132454374961,58.84520810182277,29.092023885103384,35.0,25.9,0.0,16.9,63.84,9.2,1017.9,16,0,29.753184216719387,9.100000000000001,-0.8660254037844385,-0.5000000000000004,1
2019-11-18 17:00:00,13.30081696505879,59.40807099655075,28.960454784416832,35.5,25.9,0.0,15.0,72.03,9.4,1019.0,17,0,30.447616212133916,9.600000000000001,-0.9659258262890683,-0.25881904510252063,1
2019-11-18 18:00:00,12.434861444366064,58.858734376069116,28.31275048779485,36.6,26.0,0.0,14.0,76.83,13.0,1019.0,18,0,30.545983888274264,10.600000000000001,-1.0,-1.8369701987210297e-16,1
2019-11-18 19:00:00,11.568905923673341,58.8906295697936,28.55930531032599,37.0,26.0,0.0,13.0,77.06,9.2,1020.2,19,0,30.331324259467614,11.0,-0.9659258262890684,0.2588190451025203,1
