name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Niš, 20, RS",2024-10-01T00:00:00,8,7.3,6,87.19,,0,,,,,5.4,100,1020,,,,,,,Clear,clear-night,LYNI
"Niš, 20, RS",2024-10-01T00:15:00,8,7.3,6,87.19,,0,,,,,5.4,100,1020,88.1,10,,,,,Partially cloudy,partly-cloudy-night,"13388099999,LYNI"
"Niš, 20, RS",2024-10-01T00:30:00,8,6.3,6,87.19,,0,,,,,9.4,110,1020,,,,,,,Clear,clear-night,LYNI
"Niš, 20, RS",2024-10-01T00:45:00,8,6.3,6,87.19,,0,,,,,9.4,110,1020,88,10,,,,,Partially cloudy,partly-cloudy-night,LYNI
"Niš, 20, RS",2024-10-01T01:00:00,8,6.7,6,87.19,,0,,,,,7.6,90,1020,,,,,,,Clear,clear-night,LYNI
"Niš, 20, RS",2024-10-01T01:15:00,8,6.7,6,87.19,,0,,,,,7.6,90,1020,88.1,10,,,,,Partially cloudy,partly-cloudy-night,"13388099999,LYNI"
"Niš, 20, RS",2024-10-01T01:30:00,8,6.7,6,87.19,,0,,,,,7.6,90,1019,,,,,,,Clear,clear-night,LYNI
"Niš, 20, RS",2024-10-01T01:45:00,8,6.7,6,87.19,,0,,,,,7.6,90,1019,88,10,,,,,Partially cloudy,partly-cloudy-night,LYNI
"Niš, 20, RS",2024-10-01T02:00:00,8,7.9,6,87.19,,0,,,,,3.6,,1019,,,,,,,Clear,clear-night,LYNI
"Niš, 20, RS",2024-10-01T02:15:00,7.9,7.9,6,87.7,,0,,,,,3.6,81,1019.1,88.1,10.7,,,,,Partially cloudy,partly-cloudy-night,"13384099999,13397099999,13388099999,13383099999,LYNI,13389099999"
"Niš, 20, RS",2024-10-01T02:30:00,7,7.9,6,93.35,,0,,,,,1.8,,1019,,,,,,,Clear,clear-night,LYNI
"Niš, 20, RS",2024-10-01T02:45:00,7,7.9,6,93.35,,0,,,,,1.8,,1019,88,10,,,,,Partially cloudy,partly-cloudy-night,LYNI
"Niš, 20, RS",2024-10-01T03:00:00,7,6.2,6,93.35,,0,,,,,5.4,100,1019,,,,,,,Clear,clear-night,LYNI
"Niš, 20, RS",2024-10-01T03:15:00,7,6.2,6,93.34,,0,,,,,5.4,100,1019,50,10,,,,,Partially cloudy,partly-cloudy-night,"13384099999,13397099999,13388099999,13383099999,LYNI,13389099999"
"Niš, 20, RS",2024-10-01T03:30:00,6,7,5,93.3,,0,,,,,1.8,,1019,,,,,,,Clear,clear-night,LYNI
"Niš, 20, RS",2024-10-01T03:45:00,6,7,5,93.3,,0,,,,,1.8,,1019,25,10,,,,,Partially cloudy,partly-cloudy-night,LYNI
"Niš, 20, RS",2024-10-01T04:00:00,6,6,5,93.3,,0,,,,,3.6,,1019,,,,,,,Clear,clear-night,LYNI
"Niš, 20, RS",2024-10-01T04:15:00,6,6,5,93.2,,0,,,,,3.6,78,1019,0.9,10.7,,,,,Clear,clear-night,"13384099999,13397099999,13388099999,13383099999,LYNI,13389099999"
"Niš, 20, RS",2024-10-01T04:30:00,6,5,5,93.3,,0,,,,,5.4,100,1019,,,,,,,Clear,clear-night,LYNI
"Niš, 20, RS",2024-10-01T04:45:00,6,5,5,93.3,,0,,,,,5.4,100,1019,,10,,,,,Clear,clear-night,LYNI
"Niš, 20, RS",2024-10-01T05:00:00,5,5,5,100,,0,,,,,3.6,,1019,,,,,,,Clear,clear-night,LYNI
"Niš, 20, RS",2024-10-01T05:15:00,5,5,4.9,99.59,,0,,,,,3.6,77,1019.1,48.4,10.7,,,,,Partially cloudy,partly-cloudy-night,"13384099999,13397099999,13388099999,13383099999,LYNI,13389099999"
