datetime,t_amb,t_ref,t_sup_prim,t_ret_prim,t_sup_sec,t_ret_sec,qizm,forecast_temp,forecast_feelslike,forecast_dew,forecast_humidity,forecast_precip,forecast_precipprob,forecast_snowdepth,forecast_windgust,forecast_windspeed,forecast_winddir,forecast_sealevelpressure,forecast_cloudcover,forecast_visibility,davis_out,davis_temp,davis_temp_1,davis_hum,davis_pt_,davis_speed,davis_run,davis_speed_1,davis_chill,davis_index,davis_index_1,davis_bar__,davis_rain,davis_rate,davis_d-d_,davis_d-d__1,davis_temp_2,davis_hum_1,davis_dew,davis_heat,davis_emc,davis_density,davis_samp,davis_tx_,davis_recept,davis_int_
2024-11-17 06:00:00,2.9,48.28,79.02000000000001,35.68,41.4,29.919999999999998,75.99999999911233,1.0,-0.7,0.0,93.03,,0,,,5.4,150.0,1019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-17 06:15:00,2.6399999999999997,48.36,84.9,42.019999999999996,48.22,35.68,83.99999999983265,1.0,-0.7,0.0,93.03,,0,,,5.4,150.0,1019.0,50.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-17 06:30:00,2.5,48.36,87.1,45.86,52.160000000000004,40.68,88.00000000064756,0.0,-2.6,0.0,100.0,,0,,,7.6,120.0,1019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-17 06:45:00,2.4,48.480000000000004,86.58,44.08,50.32,43.6,50.0000000001819,0.0,-2.6,0.0,100.0,,0,,,7.6,120.0,1019.0,25.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-17 07:00:00,2.58,48.42,86.02000000000001,42.46,48.62,43.4,36.00000000005821,0.0,-1.8,0.0,100.0,,0,,,5.4,110.0,1019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-17 07:15:00,2.6399999999999997,48.4,80.11999999999999,41.260000000000005,47.14,42.480000000000004,0.0,-0.1,-1.8,-0.1,99.79,,0,,,5.3,108.0,1019.1,25.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-17 07:30:00,2.7399999999999998,48.279999999999994,74.0,40.56,46.3,41.519999999999996,31.9999999992433,1.0,-0.7,0.0,93.03,,0,,,5.4,120.0,1019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-17 07:45:00,2.88,48.220000000000006,75.14,41.160000000000004,46.86,41.06,36.00000000005821,1.0,-0.7,0.0,93.03,,0,,,5.4,120.0,1019.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-17 08:00:00,3.04,48.08,84.38,42.67999999999999,49.17999999999999,41.52,52.00000000058935,2.0,-0.3,0.0,86.6,,0,,,7.6,110.0,1019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-17 08:15:00,3.2600000000000002,48.04,84.88,43.06,49.46,42.519999999999996,47.999999999774445,2.0,-0.3,0.0,86.6,,0,,,7.6,110.0,1019.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-17 08:30:00,3.4799999999999995,47.9,83.16,42.7,48.88,42.94,43.99999999986903,3.0,0.9,1.0,86.7,,0,,,7.6,110.0,1019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-17 08:45:00,3.6,47.78,73.4,41.58,47.08,42.62,33.999999999650754,3.0,0.9,1.0,86.7,,0,,,7.6,110.0,1019.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-17 09:00:00,3.8599999999999994,47.660000000000004,72.03999999999999,40.760000000000005,46.3,41.82,32.00000000106229,4.0,1.6,1.0,80.8,,0,,,9.4,170.0,1018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-17 09:15:00,4.0200000000000005,47.58,73.74000000000001,40.96,46.7,41.260000000000005,33.999999999650754,4.0,1.6,1.0,80.8,,0,,,9.4,170.0,1018.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
