datetime,t_amb,t_ref,t_sup_prim,t_ret_prim,t_sup_sec,t_ret_sec,e,pe
2024-04-04 11:52:00,16.2,44.0,51.6,32.3,27.6,27.0,8934.378,0.0
2024-04-04 11:49:00,16.0,44.0,51.7,32.4,27.5,27.0,8934.378,0.0
2024-04-04 11:46:00,15.9,44.0,51.9,32.4,27.6,27.1,8934.378,0.0
2024-04-04 11:43:00,15.7,44.0,52.0,32.5,27.7,27.1,8934.378,0.0
2024-04-04 11:40:00,15.6,44.0,52.2,32.6,27.7,27.1,8934.378,0.0
2024-04-04 11:37:00,15.7,44.0,52.4,32.7,27.9,27.2,8934.378,0.0
2024-04-04 11:34:00,15.6,44.0,52.5,32.7,28.0,27.3,8934.378,0.0
2024-04-04 11:31:00,15.6,44.0,52.7,32.8,28.2,27.3,8934.378,0.0
2024-04-04 11:28:00,15.5,44.0,52.8,32.9,28.2,27.4,8934.378,0.0
2024-04-04 11:25:00,15.6,44.0,52.9,33.0,28.4,27.5,8934.378,0.0
2024-04-04 11:22:00,15.6,44.0,53.1,33.1,28.6,27.6,8934.378,0.0
2024-04-04 11:19:00,15.5,44.0,53.2,33.2,28.5,27.7,8934.378,0.0
2024-04-04 11:16:00,15.4,44.0,53.3,33.2,28.8,27.8,8934.378,0.0
2024-04-04 11:13:00,15.3,44.0,53.5,33.3,29.0,28.0,8934.378,0.0
2024-04-04 11:10:00,15.3,44.0,53.6,33.4,29.2,28.2,8934.378,0.0
2024-04-04 11:07:00,15.3,44.0,53.8,33.5,29.7,28.5,8934.378,0.0
2024-04-04 11:04:00,15.2,44.0,54.0,33.6,30.0,28.8,8934.378,0.0
2024-04-04 11:01:00,15.3,44.0,54.1,33.7,30.4,29.0,8934.378,0.0
2024-04-04 10:58:00,15.2,44.0,54.3,33.8,30.8,29.3,8934.378,0.1
2024-04-04 10:55:00,15.2,44.0,54.6,34.0,31.3,29.6,8934.378,0.1
2024-04-04 10:52:00,15.1,44.0,54.9,34.1,31.9,29.9,8934.378,0.1
2024-04-04 10:49:00,14.9,44.0,55.1,34.3,32.2,30.2,8934.378,0.2
2024-04-04 10:46:00,15.0,44.0,55.3,34.4,32.7,30.6,8934.378,0.2
2024-04-04 10:43:00,15.0,44.0,55.4,34.6,33.1,31.0,8934.378,0.5
2024-04-04 10:40:00,15.1,44.0,55.5,34.7,33.5,31.4,8934.378,0.2
2024-04-04 10:37:00,15.1,44.0,55.5,34.9,33.6,31.8,8934.378,0.5
2024-04-04 10:34:00,14.9,44.0,55.5,35.0,33.9,32.0,8934.378,0.6
